id,filepath_gambar,jenis,warna_dominan_1,warna_dominan_2,warna_dominan_3,warna_dominan_4,warna_dominan_5,warna_index,teori_warna,warna_kombinasi,rd,gd,bd,rk,gk,bk,hueDiff,satDiff,valDiff,deltaE,contrast,label_kecocokan,probabilitas,rekomendasi_warna
18,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic2_sharp,#B23935,51,122,53,178,57,53,0.332694836,0.120279978,0.219607843,86.09915431,1.126451024,0.0,0.0004780753779205156,#B23935
19,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,complementary_soft,#F2DCFF,199,217,188,242,220,255,0.498686371,0.003614349,0.149019608,36.89128476,1.168823977,0.0,1.64034028183617e-05,
20,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,complementary_sharp,#9F41D9,199,217,188,159,65,217,0.4996219,0.566820276,0.0,111.1982757,3.32676834,1.0,0.9999996353699891,#9F41D9
21,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic1_soft,#DCE9FF,199,217,188,220,233,255,0.334646962,0.003614349,0.149019608,27.79562661,1.217544022,0.0,3.088840345238981e-05,
22,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic1_sharp,#417AD9,199,217,188,65,122,217,0.334051724,0.566820276,0.0,77.90378908,2.810029845,1.0,0.9999975712527742,#417AD9
23,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic2_soft,#FFDCE9,199,217,188,255,220,233,0.332019704,0.003614349,0.149019608,29.77461299,1.183681458,0.0,0.0003110241171015835,
24,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic2_sharp,#D9417A,199,217,188,217,65,122,0.332614943,0.566820276,0.0,81.75994589,2.823009912,1.0,0.9999806399448666,#D9417A
25,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,complementary_soft,#FDFCFF,246,247,245,253,252,255,0.472222222,0.00366754,0.031372549,3.322889102,1.051342547,0.0,6.241707263821343e-07,
26,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,complementary_sharp,#A04AF7,246,247,245,160,74,247,0.499518304,0.692307692,0.0,109.4662117,4.056494719,1.0,0.9999999192476275,#A04AF7
27,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic1_soft,#FCFDFF,246,247,245,252,253,255,0.361111111,0.00366754,0.031372549,2.982782707,1.055871933,0.0,5.60728988279267e-07,
28,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic1_sharp,#4AA0F7,246,247,245,74,160,247,0.333815029,0.692307692,0.0,61.27845957,2.550238659,1.0,0.9999988240791603,#4AA0F7
29,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic2_soft,#FFFCFD,246,247,245,255,252,253,0.305555556,0.00366754,0.031372549,2.962009494,1.053893055,0.0,8.152481533272569e-07,
30,dataset_0/vector/vector(1).jpeg,vector,#285929,#e7f2dc,#337a35,#c7d9bc,#f6f7f5,1,triadic2_sharp,#F74AA0,246,247,245,247,74,160,0.332851638,0.692307692,0.0,82.37550249,3.033455314,1.0,0.9999994155637099,#F74AA0
31,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,complementary_soft,#FFFFFF,247,247,247,255,255,255,0.0,0.0,0.031372549,2.767900297,1.071307384,0.0,7.104156424381353e-07,
32,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,complementary_sharp,#4AF7F7,247,247,247,74,247,247,0.5,0.700404858,0.0,45.01843413,1.229861628,0.0,2.1116021891437047e-05,#4AF7F7
33,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic1_soft,#FFFFFF,247,247,247,255,255,255,0.0,0.0,0.031372549,2.767900297,1.071307384,0.0,7.104156424381353e-07,
34,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic1_sharp,#4AF74A,247,247,247,74,247,74,0.333333333,0.700404858,0.0,100.8997035,1.333996218,0.0,0.00014611711937288348,#4AF74A
35,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic2_soft,#FFFFFF,247,247,247,255,255,255,0.0,0.0,0.031372549,2.767900297,1.071307384,0.0,7.104156424381353e-07,
36,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic2_sharp,#4A4AF7,247,247,247,74,74,247,0.333333333,0.700404858,0.0,114.7778067,5.42432584,1.0,0.9999997678400717,#4A4AF7
37,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,complementary_soft,#DAFFE8,230,197,217,218,255,232,0.497406497,0.001619778,0.098039216,36.45616737,1.45662028,0.0,0.049298267193837134,#DAFFE8
38,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,complementary_sharp,#45E684,230,197,217,69,230,132,0.499560826,0.556521739,0.0,87.96502482,1.034722663,0.0,1.7237669955533911e-06,
39,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic1_soft,#F0FFDA,230,197,217,240,255,218,0.335244335,0.001619778,0.098039216,37.27070076,1.499391017,1.0,0.9923925348051419,#F0FFDA
40,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic1_sharp,#A6E645,230,197,217,166,230,69,0.333929356,0.556521739,0.0,94.16352872,1.050401035,0.0,5.898044709525184e-06,
41,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic2_soft,#DAF0FF,230,197,217,218,240,255,0.331422331,0.001619778,0.098039216,22.44161509,1.339702893,0.0,2.163885334550381e-06,
42,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic2_sharp,#45A6E6,230,197,217,69,166,230,0.332737311,0.556521739,0.0,45.28808656,1.700990174,1.0,0.9935683232644775,#45A6E6
43,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,complementary_soft,#EFFFEC,233,219,236,239,255,236,0.496904025,0.002475906,0.074509804,23.44628832,1.276863265,0.0,4.144295674816147e-06,
44,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,complementary_sharp,#63EC46,233,219,236,99,236,70,0.499704701,0.631355932,0.0,103.7209346,1.16093018,0.0,7.05361309544593e-05,#63EC46
45,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic1_soft,#FFFBEC,233,219,236,255,251,236,0.327657379,0.002475906,0.074509804,19.37993321,1.281716814,0.0,4.938929258306058e-06,
46,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic1_sharp,#ECCE46,233,219,236,236,206,70,0.332624616,0.631355932,0.0,75.79249349,1.172434389,0.0,7.797271454382386e-06,#ECCE46
47,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic2_soft,#ECFFFB,233,219,236,236,255,251,0.339009288,0.002475906,0.074509804,18.67353969,1.281810591,0.0,6.686224105959979e-07,
48,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic2_sharp,#46ECCE,233,219,236,70,236,206,0.334042051,0.631355932,0.0,57.61049469,1.117224954,0.0,6.482776964891916e-05,#46ECCE
49,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,complementary_soft,#EAE7FF,226,229,208,234,231,255,0.49702381,0.00241459,0.101960784,23.50501468,1.062410992,0.0,5.074355434290858e-07,
50,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,complementary_sharp,#5B44E5,226,229,208,91,68,229,0.5,0.611353712,0.0,116.2377544,4.805105847,1.0,0.9999998051982537,#5B44E5
51,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic1_soft,#E7FBFF,226,229,208,231,251,255,0.337301587,0.00241459,0.101960784,15.76975353,1.201095336,0.0,3.3504595893935125e-07,
52,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic1_sharp,#44CEE5,226,229,208,68,206,229,0.333333333,0.611353712,0.0,42.58915871,1.45927785,1.0,0.987362765013973,#44CEE5
53,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic2_soft,#FFE7FB,226,229,208,255,231,251,0.329365079,0.00241459,0.101960784,23.48902898,1.105372681,0.0,1.7526082899528046e-06,
54,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic2_sharp,#E544CE,226,229,208,229,68,206,0.333333333,0.611353712,0.0,98.87959716,2.70299253,1.0,0.9999997022654263,#E544CE
55,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,complementary_soft,#FFD6CE,201,240,248,255,214,206,0.49884209,0.002640734,0.02745098,29.78416372,1.097775543,0.0,6.418125515748993e-06,
56,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,complementary_sharp,#F8674A,201,240,248,248,103,74,0.499408983,0.512096774,0.0,88.53570839,2.461212823,1.0,0.9999967752424958,#F8674A
57,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic1_soft,#FFCEF6,201,240,248,255,206,246,0.335576784,0.002640734,0.02745098,35.22838124,1.122748479,0.0,0.0002732977686735488,#FFCEF6
58,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic1_sharp,#F84ADA,201,240,248,248,74,218,0.333700171,0.512096774,0.0,99.89770909,2.477805634,1.0,0.9999991851477158,#F84ADA
59,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic2_soft,#F6FFCE,201,240,248,246,255,206,0.331089883,0.002640734,0.02745098,31.08450243,1.162446605,0.0,2.5285892839982875e-05,
60,dataset_0/vector/vector(2).jpeg,vector,#f7f7f7,#e6c5d9,#e9dbec,#e2e5d0,#c9f0f8,2,triadic2_sharp,#DAF84A,201,240,248,218,248,74,0.332966495,0.512096774,0.0,86.27662108,1.011785788,0.0,1.4890017934357657e-06,
61,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,complementary_soft,#F0FFF9,250,236,241,240,255,249,0.492857143,0.002823529,0.019607843,12.42280242,1.111481585,0.0,1.694647484774082e-07,
62,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,complementary_sharp,#4BFABB,250,236,241,75,250,187,0.49952381,0.644,0.0,66.83133359,1.168387724,0.0,1.4828541471699007e-05,#4BFABB
63,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic1_soft,#F5FFF0,250,236,241,245,255,240,0.337301587,0.002823529,0.019607843,13.9959743,1.115179037,0.0,9.9255620943662e-07,
64,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic1_sharp,#89FA4B,250,236,241,137,250,75,0.333809524,0.644,0.0,97.23061336,1.157431495,0.0,1.0892383487852554e-05,#89FA4B
65,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic2_soft,#F0F5FF,250,236,241,240,245,255,0.329365079,0.002823529,0.019607843,7.35074968,1.047829281,0.0,2.3036942652849197e-07,
66,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic2_sharp,#4B89FA,250,236,241,75,137,250,0.332857143,0.644,0.0,72.33144782,2.929620077,1.0,0.99999960024684,#4B89FA
67,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,complementary_soft,#99FFD0,232,29,121,153,255,208,0.498736276,0.475,0.090196078,123.8891843,3.598047601,1.0,0.9999989972674351,#99FFD0
68,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,complementary_sharp,#1DE88B,232,29,121,29,232,139,0.499178982,0.0,0.0,148.7897395,2.65568248,1.0,0.9999893039263702,#1DE88B
69,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic1_soft,#C7FF99,232,29,121,199,255,153,0.333703596,0.475,0.090196078,125.7462553,3.725659693,1.0,0.9999995814426188,#C7FF99
70,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic1_sharp,#78E81D,232,29,121,120,232,29,0.334154351,0.0,0.0,159.5160916,2.73581708,1.0,0.9999812013051037,
71,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic2_soft,#99C7FF,232,29,121,153,199,255,0.33296307,0.475,0.090196078,89.28718644,2.45091648,1.0,0.9997313718390278,
72,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic2_sharp,#1D79E8,232,29,121,29,121,232,0.333333333,0.0,0.0,89.41181981,1.014218286,0.0,9.839890583607047e-07,
73,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,complementary_soft,#D9E4E9,195,186,182,217,228,233,0.499198718,0.002002861,0.149019608,16.24676241,1.472335177,0.0,0.0005471570762150801,#D9E4E9
74,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,complementary_sharp,#3A99C3,195,186,182,58,153,195,0.499812839,0.635897436,0.0,40.39821191,1.688954731,0.0,0.8925090507761599,#3A99C3
75,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic1_soft,#D9E9DE,195,186,182,217,233,222,0.334134615,0.002002861,0.149019608,17.73170394,1.511933407,0.0,0.00022740150565821768,
76,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic1_sharp,#3AC364,195,186,182,58,195,100,0.333146173,0.635897436,0.0,68.72482378,1.201690023,0.0,2.6248442227438496e-05,
77,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic2_soft,#DED9E9,195,186,182,222,217,233,0.332532051,0.002002861,0.149019608,15.54689272,1.380076321,0.0,1.6187364296142473e-05,
78,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic2_sharp,#643AC3,195,186,182,100,58,195,0.333520494,0.635897436,0.0,91.85854119,3.754356427,1.0,0.9999983436922459,#643AC3
79,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,complementary_soft,#355859,51,23,22,53,88,89,0.498882503,0.164133069,0.149019608,36.84004797,2.111152648,0.0,0.00010154035562904584,
80,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,complementary_sharp,#35AEB2,51,23,22,53,174,178,0.499586207,0.13361974,0.498039216,72.21453504,6.156274733,1.0,0.9999934730825474,#35AEB2
81,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic1_soft,#355936,51,23,22,53,89,54,0.332215837,0.164133069,0.149019608,42.70021542,2.065719159,0.0,0.00031607335537384753,
82,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic1_sharp,#35B239,51,23,22,53,178,57,0.33291954,0.13361974,0.498039216,98.30540513,5.944453652,1.0,0.9999929309846227,#35B239
83,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic2_soft,#363559,51,23,22,54,53,89,0.33445083,0.164133069,0.149019608,31.18797622,1.419986829,0.0,2.824671617938863e-06,
84,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic2_sharp,#3935B2,51,23,22,57,53,178,0.333747126,0.13361974,0.498039216,79.93290659,1.824514274,0.0,0.0006207766136510028,#3935B2
85,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,complementary_soft,#4F7D84,94,49,42,79,125,132,0.499576681,0.151676338,0.149019608,46.44258033,2.360085708,1.0,0.992521409587409,#4F7D84
86,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,complementary_sharp,#35A1B2,94,49,42,53,161,178,0.499769231,0.149055702,0.329411765,64.45217627,3.536825474,1.0,0.999997150216144,#35A1B2
87,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic1_soft,#4F8456,94,49,42,79,132,86,0.332910015,0.151676338,0.149019608,53.7999069,2.446424463,1.0,0.9874565777537074,
88,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic1_sharp,#35B246,94,49,42,53,178,70,0.333564103,0.149055702,0.329411765,90.11448426,3.9041374,1.0,0.9999948595999667,#35B246
89,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic2_soft,#564F84,94,49,42,86,79,132,0.333756652,0.151676338,0.149019608,43.66944029,1.461115191,0.0,0.0001607509595625465,
90,dataset_0/vector/vector(3).jpeg,vector,#faecf1,#e81d79,#c3bab6,#331716,#5e312a,3,triadic2_sharp,#4635B2,94,49,42,70,53,178,0.333102564,0.149055702,0.329411765,81.08486659,1.238023218,0.0,1.4899009372250913e-05,
91,dataset_0/vector/vector(4).jpeg,vector,#edc670,#fcfcf7,#f4daa8,#d8947a,#261815,4,complementary_soft,#99B8FF,237,198,112,153,184,255,0.498653595,0.12742616,0.070588235,86.5756143,1.21191222,0.0,0.00018005449552531853,
92,dataset_0/vector/vector(4).jpeg,vector,#edc670,#fcfcf7,#f4daa8,#d8947a,#261815,4,complementary_sharp,#477AED,237,198,112,71,122,237,0.499204819,0.172995781,0.0,115.7582663,2.448046712,1.0,0.9999974890606552,#477AED
93,dataset_0/vector/vector(4).jpeg,vector,#edc670,#fcfcf7,#f4daa8,#d8947a,#261815,4,triadic1_soft,#99FFDF,237,198,112,153,255,223,0.333045752,0.12742616,0.070588235,59.38560152,1.372622767,0.0,0.013249002945750259,#99FFDF
94,dataset_0/vector/vector(4).jpeg,vector,#edc670,#fcfcf7,#f4daa8,#d8947a,#261815,4,triadic1_sharp,#47EDB9,237,198,112,71,237,185,0.333124498,0.172995781,0.0,67.53765174,1.090582013,0.0,3.8345597449881946e-06,
95,dataset_0/vector/vector(4).jpeg,vector,#edc670,#fcfcf7,#f4daa8,#d8947a,#261815,4,triadic2_soft,#DF99FF,237,198,112,223,153,255,0.333620915,0.12742616,0.070588235,97.37246036,1.273663097,0.0,0.002860211529194346,
96,dataset_0/vector/vector(4).jpeg,vector,#edc670,#fcfcf7,#f4daa8,#d8947a,#261815,4,triadic2_sharp,#B947ED,237,198,112,185,71,237,0.333542169,0.172995781,0.0,132.6927813,2.489380127,1.0,0.9999976152902691,#B947ED
97,dataset_0/vector/vector(4).jpeg,vector,#edc670,#fcfcf7,#f4daa8,#d8947a,#261815,4,complementary_soft,#F9F9FF,252,252,247,249,249,255,0.5,0.003688142,0.011764706,5.651647756,1.019184226,0.0,2.1264402037778616e-06,
98,dataset_0/vector/vector(4).jpeg,vector,#edc670,#fcfcf7,#f4daa8,#d8947a,#261815,4,complementary_sharp,#4B4BFC,252,252,247,75,75,252,0.5,0.682539683,0.0,119.1206938,5.498495859,1.0,0.9999996205707834,#4B4BFC
99,dataset_0/vector/vector(4).jpeg,vector,#edc670,#fcfcf7,#f4daa8,#d8947a,#261815,4,triadic1_soft,#F9FFFF,252,252,247,249,255,255,0.333333333,0.003688142,0.011764706,3.345278294,1.018112835,0.0,7.495712779586799e-07,
100,dataset_0/vector/vector(4).jpeg,vector,#edc670,#fcfcf7,#f4daa8,#d8947a,#261815,4,triadic1_sharp,#4BFCFC,252,252,247,75,252,252,0.333333333,0.682539683,0.0,45.69404109,1.227154138,0.0,4.2347856474656375e-06,#4BFCFC
101,dataset_0/vector/vector(4).jpeg,vector,#edc670,#fcfcf7,#f4daa8,#d8947a,#261815,4,triadic2_soft,#FFF9FF,252,252,247,255,249,255,0.333333333,0.003688142,0.011764706,6.002546828,1.007905563,0.0,9.688292925483902e-07,
102,dataset_0/vector/vector(4).jpeg,vector,#edc670,#fcfcf7,#f4daa8,#d8947a,#261815,4,triadic2_sharp,#FC4BFC,252,252,247,252,75,252,0.333333333,0.682539683,0.0,108.0143702,2.702404645,1.0,0.9999998128602455,#FC4BFC
